CPU_count;Matrix_size;Algo_time;Write_time
1;100;0.006975;0.001775
2;100;0.008779;0.001832
4;100;0.003941;0.002135
8;100;0.002590;0.012023
16;100;0.006671;0.012592
24;100;0.027760;0.002644
32;100;0.011093;0.005492
40;100;0.014359;0.004044
48;100;0.016633;0.112906
56;100;0.017897;0.004451
64;100;0.025644;0.003200
72;100;0.024061;0.004234
80;100;0.027986;0.003991
88;100;0.038380;0.004590
96;100;0.029141;0.004377
104;100;0.037057;0.002716
112;100;0.032633;0.003107
120;100;0.036612;0.002747
128;100;0.042613;0.003990
1;500;0.647369;0.010634
2;500;0.657279;0.012469
4;500;0.223752;0.017016
8;500;0.100623;0.016473
16;500;0.061985;0.028116
24;500;0.090188;0.023239
32;500;0.054547;0.023061
40;500;0.071114;0.025618
48;500;0.085815;1.751476
56;500;0.106125;0.018065
64;500;0.139686;0.016235
72;500;0.184818;0.017216
80;500;0.216690;0.020142
88;500;0.284610;0.028629
96;500;0.300825;0.024580
104;500;0.384175;0.029952
112;500;0.417843;0.034039
120;500;0.447781;0.026844
128;500;0.497708;0.014030
1;1000;5.160185;0.027291
2;1000;5.207419;0.030743
4;1000;1.784406;0.039951
8;1000;0.782244;0.043641
16;1000;0.400465;0.052221
24;1000;0.529278;0.038236
32;1000;0.249886;0.067287
40;1000;0.212511;0.128474
48;1000;0.212159;3.420404
56;1000;0.256657;0.042384
64;1000;0.279404;0.034505
72;1000;0.382065;0.056390
80;1000;0.493030;0.045215
88;1000;0.596350;0.081758
96;1000;0.701036;0.035099
104;1000;0.797425;0.038217
112;1000;0.897463;0.038799
120;1000;0.985570;0.088567
128;1000;1.087132;0.031777
1;1500;17.479006;0.049209
2;1500;17.711063;0.056216
4;1500;5.933113;0.062452
8;1500;2.580213;0.109913
16;1500;1.263873;0.094308
24;1500;1.107183;0.071984
32;1500;0.671021;0.069492
40;1500;0.596506;0.053176
48;1500;0.526835;5.108379
56;1500;0.494490;0.083963
64;1500;0.523622;0.057617
72;1500;0.607115;0.061350
80;1500;0.784817;0.062011
88;1500;0.871480;0.069559
96;1500;1.109997;0.058549
104;1500;1.275683;0.074844
112;1500;1.434614;0.069409
120;1500;1.596135;0.061887
128;1500;1.699925;0.052913
1;2000;41.438201;0.068562
2;2000;41.878858;0.074858
4;2000;14.082805;0.090547
8;2000;6.026773;0.093780
16;2000;3.273544;0.096925
24;2000;2.833333;0.080022
32;2000;3.022632;0.157746
40;2000;3.791201;0.105822
48;2000;4.703123;6.429675
56;2000;5.669397;0.085540
64;2000;6.616356;0.084995
72;2000;7.568089;0.110389
80;2000;8.515985;0.077177
88;2000;9.474110;0.083312
96;2000;10.375650;0.118652
104;2000;11.405517;0.088446
112;2000;12.334417;0.097158
120;2000;13.352129;0.078488
128;2000;14.135547;0.085657
1;2500;80.848588;0.109206
2;2500;81.629690;0.114601
4;2500;27.422584;0.141070
8;2500;11.697567;0.192197
16;2500;6.051435;0.228182
24;2500;4.703756;0.138472
32;2500;4.379467;0.100523
40;2500;5.046721;0.125611
48;2500;6.213637;8.183430
56;2500;7.437376;0.133051
64;2500;8.657787;0.219664
72;2500;9.894677;0.118684
80;2500;11.242564;0.152768
88;2500;12.429071;0.127065
96;2500;13.713875;0.146500
104;2500;14.897403;0.145307
112;2500;16.162960;0.211168
120;2500;17.502751;0.131793
128;2500;18.792034;0.135460
1;3000;139.657501;0.224009
2;3000;141.137573;0.242291
4;3000;47.176255;0.274974
8;3000;20.153225;0.231372
16;3000;10.253810;0.191939
24;3000;7.246696;0.403414
32;3000;6.329455;0.130336
40;3000;6.788446;0.198392
48;3000;7.832264;9.850899
56;3000;9.322854;0.177537
64;3000;10.952519;0.164675
72;3000;12.496377;0.261312
80;3000;14.065235;0.229828
88;3000;15.631065;0.161989
96;3000;17.203044;0.159799
104;3000;18.754064;0.206344
112;3000;20.328806;0.205878
